embwel	outcome	outcome	pos
stravdfwEst	battery	battery	pos
ljGwu	release[v]	to release	pos
aktOwE	copy[n]	a reproduction; a copy; copier	pos
zawenE	ride[n]	ride	pos
Spen	go-through	to go through; to enter/exit	pos
EdzEn	fear	fear	pos
brAn	yellow-green	yellow-green (530-560 nm)	pos
kabowE	speech	speech; speaker	pos
wolOg	plan[n]	a plan	pos
marakabo	declare	to declare	pos
tSawEnt	symbol	symbol	pos
ketE	instruction	instruction	pos
TOwE	disposal	disposal	pos
wu	they+pl	third-person plural pronoun	pos
gafmara	write	to write/type	pos
anoG	possibility	possibility	pos
hemnElO	platonic-cuddle	to cuddle/snuggle platonically	pos
saveneft	green	green/blue-green (490-530 nm)	pos
ObE	drug	drug	pos
ljwA	seven	seven	pos
zaGak	scent	scent	pos
bosE	erection	erection	pos
des swo	open[v]	to open	pos
blEk	avoid	to avoid	pos
kEgE	arthropod	arthropod/arthropod-like alien	pos
COS	lie[n]	lie; intentional falsehood	pos
okehE	want	to want	pos
wiAkE	before	before (in time)	pos
Entmara	appeaer	to appear	pos
leEmalan	love[v]	to love	pos
ket	command[v]	to command/instruct	pos
mara	manifest[v]	to manifest	pos
swo	open[jj]	open	pos
EnsleEltsEmarawE	worker	worker	pos
nadek	consume	to consume	pos
sHES	be-misled	to be misled or fooled	pos
olup	fruit	fruit	pos
yaf	have	to hold; to have	pos
po	small	small	pos
jwaga	play[v]	to play (a board game, puzzle, etc.)	pos
kHahLatE	disrespect[n]	disrespectfulness	pos
gatSpenE	escape[n]	an escape	pos
CA	[honorific]	form of address for someone respected	pos
gat	out	out	pos
gesta	slow	slow	pos
goram	infrared	infrared (760-800 nm)	pos
gaf	word	word	pos
ksEhuma	galaxy	galaxy	pos
gunAmeregnAt	sidereal-day	sidereal day	pos
fenEk	normal	normal	pos
neltik	inanimate-lifeform	a living thing that doesn't move	pos
Ca	if	if	pos
ognAtE	Orbital	Orbital	pos
delEjnlomra	vagina	vagina	pos
lemiwE	sensation	sensation; sensor	pos
Cu	hard	hard	pos
kabolA	comm-device	communication device	pos
noHtE	stopper	stopper; stopping	pos
TEnLaz	unfortunate	unfortunate	pos
ogat	be-outside	to be outside of	pos
mAHE	opponent	opponent	pos
sHESE	trick[n]	a trick	pos
okataH	be-right-of	to be to the right of	pos
vA	soft	soft	pos
hLOf	dolt	unpleasant person	pos
magmurer	subconscious	subconscious	pos
psotE	capitulation	capitulation	pos
devorm	play[v]	to play (a sport)	pos
murerlu	consciousness	consciousness	pos
lelemgalol	language	language	pos
HoldE	animal	animal	pos
mOd	contents	contents; member; part	pos
saOlejn	have-sex-with	to have sex with	pos
tasE	seat	seat/resting place	pos
bahLaveHtSawE	capitalism	capitalism; capitalist	pos
nahar	feel-effects	to feel the effects of	pos
okehEwE	desire	desire	pos
yafE	arm	arm	pos
EltsE	use[v]	to use	pos
nOftE	action	action; behaviour	pos
larESin	smile[v]	to smile	pos
kserA	travel[v]	to travel through space	pos
eft	membrane	fabric/membrane/skin	pos
dosa	three	three	pos
heldjt	structure[n]	structure; building	pos
mEGusetSawE	socialism	socialism	pos
wia	back	back/behind	pos
wek	appendage	hand/foot/etc.	pos
yokASA	in-what-way	in what manner	pos
leEmalanE	love[n]	the feeling of love	pos
ObEzAnO	smoking-pipe	pipe (for smoking)	pos
mAHkabowE	argument	argument	pos
stufOwE	jumping	thing that jumps; jumping	pos
bin	culture	culture/nation	pos
stravd	electricity	electricity	pos
TOzesO	restroom	restroom	pos
zaGlemiwE	flavour[n]	flavour	pos
mAHheldjt	political-state	state (in the political sense)	pos
yafSpenE	giver	giver; donation	pos
wymusil	reason-to-live	reason to live	pos
muksi	death	death	pos
lAsoeterE	videogames	videogames	pos
odzod	be-surrounded	to be in the middle of/to be surrounded by	pos
mAHkabo	argue	to argue	pos
aktO	copy[v]	to reproduce; to copy	pos
Gedil	violet	blue/violet (400-490 nm)	pos
desE	becoming	becoming	pos
rAmurer	Mind	a Mind	pos
kataHhagnAt	east	east	pos
sotE	imperfection	imperfection	pos
Hysp	hierarchy	hierarchy	pos
noHt	stop[v]	to stop	pos
SafE	release[n]	pressure release	pos
nadekE	consumption	consumption	pos
aklemiwE	smelling	smelling	pos
pet	seem-to	to seem to x (example: 'ge'='you'; 'peget'='seems to you')	pos
ekeS	run-out-of	to run out of	pos
owaG	be-left-of	to be to the left of	pos
lelem	tongue	tongue	pos
EltsEmarawE	products	products/goods	pos
gatdzodlemiwE	texture	texture	pos
oG	one[pron]	fourth-person singular pronoun	pos
bu	last	last/final	pos
okHrAtE	conquest	conquest	pos
meEGgaf	poem	poem	pos
owEha	be-behind	to be behind	pos
yokA	[to-adv]	adverbial modifier	pos
EntlemiwE	vision	vision	pos
yafmurer	accept	to accept	pos
heT	believe	to believe	pos
waG	direction-left	left	pos
jwagawE	analog-gaming	gaming (non-digital)	pos
SLat	barrier	barrier/obstacle	pos
rezen	grow	to grow	pos
Gykve	unite	to unite/join together	pos
zaGlemi	taste[v]	to taste	pos
sot	make-imperfect	imperfect; to make imperfect	pos
heH	no	no	pos
mere	environment	environment	pos
GuhiH	disregard[v]	to disregard; to not worry about	pos
ognAt	orbit[v]	to orbit	pos
sAnowE	existence	existence	pos
aktOgafmara	copy-text[v]	to copy text	pos
Suzt	desirable	desirable/favourable	pos
gatdzod	surface	surface	pos
guHetpren	land-vehicle	land vehicle	pos
ogoyn	ultraviolet	ultraviolet (280-400 nm)	pos
fwEst	container	box/container	pos
hegAret	serious	serious	pos
SAlE	where	where/when	pos
hagnAt	axis	axis of rotation	pos
mEGuse	share[v]	to share	pos
mEGusewE	sharing	sharing	pos
gore	meet[v]	to meet	pos
gikwemra	rights	rights (as in human rights, property rights, etc.)	pos
boHet	powerful-being	powerful/advanced being	pos
lerEnE	lying-down	the act of lying down	pos
OprahAwE	movement	movement	pos
EnslewE	creation	creation; creator	pos
berO	old	old	pos
hAlaksE	runner	runner, running	pos
HAtsHa	unintelligent	unintelligent	pos
nheH	zero	zero	pos
ak	gas	gas	noun
beHOm	past	past	pos
amnwe	eight-to-power	eight to the power of	pos
gaftSavetE	meaning[n]	meaning	pos
Sin	above	above/up	pos
galollemiwE	hearing[n]	hearing; listener	pos
spetSiH	immature-person	immature or whiny person	pos
murer	mind	mind	pos
kabo	speak	to speak	pos
TO	dispose-of	to get rid/dispose of	pos
u	and	and/plus	pos
vso	carbohydrates	carbohydrates; starch	pos
TA	large	large	pos
sjwonE	limit[n]	limit	pos
tswa	instance	instance/occurrence	pos
AG	then	then	pos
olteb	cord	cord; string	pos
vsoShorn	bread	bread	pos
Opre	leg	leg	pos
wataO	towards	towards	pos
GykvewE	union	union	pos
ta	that	that/those	pos
des sha	fall[v]	to fall	pos
rasaOG	number	number	pos
orhO	is-it-okay-to	is it okay to	pos
tSOdz	game	game (non-digital)	pos
sendrat	on-ones-initiative	on one's own initiative	pos
